page_url,element_index,tag,element_id,class_name,text_length,height,min_height,overflow,has_fixed_height,has_overflow_hidden,wcag_1_4_12_status,wcag_1_4_12_violation,overall_status,html_snippet
https://www.bluecaffeine.com/,0,html,, js_active  vc_desktop  vc_transform  vc_transform ,8043,9545.27px,0px,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<html lang=""en-US"" prefix=""og: https://ogp.me/ns#"" class="" js_active  vc_desktop  vc_transform  vc_transform ""><head><meta http-equiv=""origin-trial"" content=""A7vZI3v+Gz7JfuRolKNM4Aff6zaGuT7X0mf3wtoZTnKv6497cVMnhy03KDqX7kBz/q/iidW7srW31oQbBt4VhgoAAACUeyJvcmlnaW4iOiJodHRwczovL3d3dy5nb29nbGUuY29tOjQ0MyIsImZlYXR1cmUiOiJEaXNhYmxlVGhpcmRQYXJ0eVN0b3JhZ2VQYXJ0aXRpb25pbmczIiwiZXhwaXJ5IjoxNzU3OTgwODAwLCJpc1"
https://www.bluecaffeine.com/,1,head,,,99557,auto,0px,visible,False,False,PASSED,,PASSED,"<head><meta http-equiv=""origin-trial"" content=""A7vZI3v+Gz7JfuRolKNM4Aff6zaGuT7X0mf3wtoZTnKv6497cVMnhy03KDqX7kBz/q/iidW7srW31oQbBt4VhgoAAACUeyJvcmlnaW4iOiJodHRwczovL3d3dy5nb29nbGUuY29tOjQ0MyIsImZlYXR1cmUiOiJEaXNhYmxlVGhpcmRQYXJ0eVN0b3JhZ2VQYXJ0aXRpb25pbmczIiwiZXhwaXJ5IjoxNzU3OTgwODAwLCJpc1N1YmRvbWFpbiI6dHJ1ZSwiaXNUaGlyZFBhcnR5Ijp0cnVlfQ=="">
	<meta charset=""UTF-8"">
    <meta http-equiv=""X-UA-Compati"
https://www.bluecaffeine.com/,2,title,,,68,auto,0px,visible,False,False,PASSED,,PASSED,<title>AI-Powered Performance Marketing Agency | Data-Driven Growth Partner</title>
https://www.bluecaffeine.com/,3,style,,,1409,auto,0px,visible,False,False,PASSED,,PASSED,"<style data-tippy-stylesheet="""">.tippy-box[data-animation=fade][data-state=hidden]{opacity:0}[data-tippy-root]{max-width:calc(100vw - 10px)}.tippy-box{position:relative;background-color:#333;color:#fff;border-radius:4px;font-size:14px;line-height:1.4;white-space:normal;outline:0;transition-property:transform,visibility,opacity}.tippy-box[data-placement^=top]>.tippy-arrow{bottom:0}.tippy-box[data-p"
https://www.bluecaffeine.com/,4,script,,aioseo-schema,2056,auto,0px,visible,False,False,PASSED,,PASSED,"<script type=""application/ld+json"" class=""aioseo-schema"">
			{""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""WebSite"",""@id"":""https:\/\/www.bluecaffeine.com\/#website"",""url"":""https:\/\/www.bluecaffeine.com\/"",""name"":""Blue Caffeine - Performance Marketing Agency"",""publisher"":{""@id"":""https:\/\/www.bluecaffeine.com\/#organization""},""potentialAction"":{""@type"":""SearchAction"",""target"":""https:\/\/w"
https://www.bluecaffeine.com/,5,style,classic-theme-styles-inline-css,,256,auto,0px,visible,False,False,PASSED,,PASSED,"<style id=""classic-theme-styles-inline-css"" type=""text/css"">.wp-block-button__link{color:#fff;background-color:#32373c;border-radius:9999px;box-shadow:none;text-decoration:none;padding:calc(.667em + 2px) calc(1.333em + 2px);font-size:1.125em}.wp-block-file__button{background:#32373c;color:#fff;text-decoration:none}</style>"
https://www.bluecaffeine.com/,6,style,global-styles-inline-css,,9267,auto,0px,visible,False,False,PASSED,,PASSED,"<style id=""global-styles-inline-css"" type=""text/css"">body{--wp--preset--color--black:#000;--wp--preset--color--cyan-bluish-gray:#abb8c3;--wp--preset--color--white:#fff;--wp--preset--color--pale-pink:#f78da7;--wp--preset--color--vivid-red:#cf2e2e;--wp--preset--color--luminous-vivid-orange:#ff6900;--wp--preset--color--luminous-vivid-amber:#fcb900;--wp--preset--color--light-green-cyan:#7bdcb5;--wp--p"
https://www.bluecaffeine.com/,7,style,dana-custom-style-inline-css,,16361,auto,0px,visible,False,False,PASSED,,PASSED,"<style id=""dana-custom-style-inline-css"" type=""text/css"">body .bt-titlebar{padding-bottom:0}body .bt-footer{margin-top:0}body .bt-footer{margin-top:0}body .bt-titlebar{padding-bottom:0}body .bt-footer{margin-top:0}body .bt-footer{margin-top:0}.bt-footer ul,.bt-footer ol{list-style:none;margin:0;padding:0;text-align:left}h3.privacy-data{font-size:20px;font-family:""Gilroy-Bold ☞""}.bt-post-item a{col"
https://www.bluecaffeine.com/,8,noscript,,,144,auto,0px,visible,False,False,PASSED,,PASSED,"<noscript><link rel=""stylesheet"" href=""https://fonts.googleapis.com/css?family=Didact%20Gothic:400%7CLato:400,700&#038;display=swap&#038;ver=1732706582""/></noscript>"
https://www.bluecaffeine.com/,9,script,wpbc_all-js-before,,95,auto,0px,visible,False,False,PASSED,,PASSED,"<script type=""text/javascript"" id=""wpbc_all-js-before"">//<![CDATA[
var wpbc_url_ajax=""https:\/\/www.bluecaffeine.com\/wp-admin\/admin-ajax.php"";
//]]></script>"
https://www.bluecaffeine.com/,10,script,wpbc_all-js-after,,3366,auto,0px,visible,False,False,PASSED,,PASSED,"<script type=""text/javascript"" id=""wpbc_all-js-after"">//<![CDATA[
function wpbc_init__head(){_wpbc.set_other_param('locale_active','en_US');_wpbc.set_other_param('today_arr',[2026,03,24,05,21]);_wpbc.set_other_param('url_plugin','https://www.bluecaffeine.com/wp-content/plugins/booking');_wpbc.set_other_param('this_page_booking_hash','');_wpbc.set_other_param('calendars__on_this_page',[]);_wpbc.set"
https://www.bluecaffeine.com/,11,style,custom_fonts,,290,auto,0px,visible,False,False,PASSED,,PASSED,"<style type=""text/css"" id=""custom_fonts"">@font-face{font-family:Gilroy-Regular;src:url(https://www.bluecaffeine.com/wp-content/uploads/custom_fonts/Gilroy-Regular.woff);font-weight:normal}@font-face{font-family:Gilroy-Heavy;src:url(https://www.bluecaffeine.com/wp-content/uploads/custom_fonts/Gilroy-Heavy.woff);font-weight:normal}</style>"
https://www.bluecaffeine.com/,12,style,,,82,auto,0px,visible,False,False,PASSED,,PASSED,"<style type=""text/css"">.recentcomments a{display:inline!important;padding:0!important;margin:0!important}</style>"
https://www.bluecaffeine.com/,13,script,,,1710,auto,0px,visible,False,False,PASSED,,PASSED,"<script>function setREVStartSize(e){window.RSIW=window.RSIW===undefined?window.innerWidth:window.RSIW;window.RSIH=window.RSIH===undefined?window.innerHeight:window.RSIH;try{var pw=document.getElementById(e.c).parentNode.offsetWidth,newh;pw=pw===0||isNaN(pw)||(e.l==""fullwidth""||e.layout==""fullwidth"")?window.RSIW:pw;e.tabw=e.tabw===undefined?0:parseInt(e.tabw);e.thumbw=e.thumbw===undefined?0:parseIn"
https://www.bluecaffeine.com/,14,style,wp-custom-css,,14203,auto,0px,visible,False,False,PASSED,,PASSED,"<style type=""text/css"" id=""wp-custom-css"">h2.title,h1.title{letter-spacing:normal!important}.ubtn{font-size:16px}.google-partner-new .google-partner-wrap{padding-bottom:45px}button.ubtn-normal{padding:8px 16px}.banner-head{font-family:'Gilroy-Bold ☞';font-weight:400!important}.vc_row.wpb_row.vc_row-fluid.agent-row-two{display:flex;justify-content:center;margin:0!important}.ai-agent-section .vc_row"
https://www.bluecaffeine.com/,15,style,dana_options-dynamic-css,redux-options-output,29653,auto,0px,visible,False,False,PASSED,,PASSED,"<style id=""dana_options-dynamic-css"" title=""dynamic-css"" class=""redux-options-output"">body{background-color:#f8f8f8}.bt-main-color{color:#000}.bt-secondary-color{color:#1d71b8}a,.bt-link-color{color:#171721}a:hover,.bt-link-color:hover{color:#1d71b8}body{font-family:gilroy-regular;line-height:24px;letter-spacing:0;font-weight:400;font-style:normal;color:#686876;font-size:14px;font-display:swap}h1,"
https://www.bluecaffeine.com/,16,style,,,14545,auto,0px,visible,False,False,PASSED,,PASSED,"<style type=""text/css"" data-type=""vc_custom-css"">.sp-testimonial-free-section .slick-dots li{background-color:transparent!important}label{display:inline-block;max-width:100%;margin-bottom:5px;font-weight:700;letter-spacing:.28px;font-family:'Gilroy-Medium ☞';color:#202833}.slick-next{color:#202833!important;font-size:40px!important;display:block}.slick-prev{color:#929fb1!important;font-size:40px!i"
https://www.bluecaffeine.com/,17,style,,,5060,auto,0px,visible,False,False,PASSED,,PASSED,"<style type=""text/css"" data-type=""vc_shortcodes-custom-css"">.vc_custom_1760374821316{padding-top:80px!important;background-color:#f8f9fb!important}.vc_custom_1760364163492{padding-top:80px!important;padding-bottom:25px!important}.vc_custom_1760440282882{padding-top:40px!important;padding-bottom:40px!important;background-color:#f8f9fb!important}.vc_custom_1760415420431{padding-top:40px!important;pa"
https://www.bluecaffeine.com/,18,noscript,,,58,auto,0px,visible,False,False,PASSED,,PASSED,<noscript><style>.wpb_animate_when_almost_visible{opacity:1}</style></noscript>
https://www.bluecaffeine.com/,19,noscript,,,104,auto,0px,visible,False,False,PASSED,,PASSED,"<noscript><style id=""rocket-lazyload-nojs-css"">.rll-youtube-player,[data-lazy-src]{display:none!important}</style></noscript>"
https://www.bluecaffeine.com/,20,script,,,337,auto,0px,visible,False,False,PASSED,,PASSED,"<script>(function(w,d,s,l,i){w[l]=w[l]||[];w[l].push({'gtm.start':new Date().getTime(),event:'gtm.js'});var f=d.getElementsByTagName(s)[0],j=d.createElement(s),dl=l!='dataLayer'?'&l='+l:'';j.async=true;j.src='https://www.googletagmanager.com/gtm.js?id='+i+dl;f.parentNode.insertBefore(j,f);})(window,document,'script','dataLayer','GTM-N55VDCQ');</script>"
https://www.bluecaffeine.com/,21,style,,,191,auto,0px,visible,False,False,PASSED,,PASSED,<style>/** Ultimate: Media Responsive **/ @media (max-width: 1199px) { }@media (max-width: 991px)  { }@media (max-width: 767px)  { }@media (max-width: 479px)  { }/** Ultimate: Media Responsive - **/</style>
https://www.bluecaffeine.com/,22,style,,,68,auto,0px,visible,False,False,PASSED,,PASSED,<style>#ult-carousel-47098071469c21f4f162d8 .slick-slide { margin:0 15px; } </style>
https://www.bluecaffeine.com/,23,style,,,69,auto,0px,visible,False,False,PASSED,,PASSED,<style>#ult-carousel-162824582969c21f4f63ef0 .slick-slide { margin:0 20px; } </style>
https://www.bluecaffeine.com/,24,body,,home page-template-default page page-id-18428 wide header-1 wpb-js-composer js-comp-ver-6.4.0 vc_responsive rs-safari,8043,9545.27px,0px,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<body data-rsssl=""1"" class=""home page-template-default page page-id-18428 wide header-1 wpb-js-composer js-comp-ver-6.4.0 vc_responsive rs-safari"">
	<!-- Google Tag Manager (noscript) -->
<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-N55VDCQ"" height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>
<!-- End Google Tag Manager (noscript) -->
		<div i"
https://www.bluecaffeine.com/,25,noscript,,,139,auto,0px,visible,False,False,PASSED,,PASSED,"<noscript><iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-N55VDCQ"" height=""0"" width=""0"" style=""display:none;visibility:hidden""></iframe></noscript>"
https://www.bluecaffeine.com/,26,div,bt-main,,8043,9545.27px,0px,hidden,True,True,FAILED,1.4.12: Fixed height with overflow hidden may clip text when spacing is increased.,FAILED,"<div id=""bt-main"">
		<header id=""bt_header"" class=""bt-header bt-header-v1 bt-stick"">
	<div class=""bt-header-desktop"" style="""">
		
		<div class=""bt-subheader bt-bottom"">
			<div class=""bt-subheader-inner container"">
				<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65p"
https://www.bluecaffeine.com/,27,header,bt_header,bt-header bt-header-v1 bt-stick,109,0px,0px,visible,False,False,PASSED,,PASSED,"<header id=""bt_header"" class=""bt-header bt-header-v1 bt-stick"">
	<div class=""bt-header-desktop"" style="""">
		
		<div class=""bt-subheader bt-bottom"">
			<div class=""bt-subheader-inner container"">
				<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src="
https://www.bluecaffeine.com/,28,div,,bt-header-desktop,54,80px,0px,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-header-desktop"" style="""">
		
		<div class=""bt-subheader bt-bottom"">
			<div class=""bt-subheader-inner container"">
				<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE"
https://www.bluecaffeine.com/,29,div,,bt-subheader bt-bottom,54,80px,0px,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-subheader bt-bottom"">
			<div class=""bt-subheader-inner container"">
				<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><"
https://www.bluecaffeine.com/,30,div,,bt-subheader-inner container,54,80px,0px,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-subheader-inner container"">
				<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height"
https://www.bluecaffeine.com/,31,div,,bt-subheader-cell bt-left,0,65px,auto,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-subheader-cell bt-left"">
					<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaff"
https://www.bluecaffeine.com/,32,div,,bt-content text-left,0,65px,auto,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-content text-left"">
						<a href=""https://www.bluecaffeine.com/"">
							<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded""><noscript><img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-"
https://www.bluecaffeine.com/,33,img,,logo lazyloaded,0,65px,0px,clip,True,True,FAILED,1.4.12: Fixed height with overflow hidden may clip text when spacing is increased.,FAILED,"<img class=""logo lazyloaded"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo"" data-ll-status=""loaded"">"
https://www.bluecaffeine.com/,34,noscript,,,143,auto,0px,visible,False,False,PASSED,,PASSED,"<noscript><img class=""logo"" style=""height: 65px; width: auto;"" src=""https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png"" alt=""Logo""></noscript>"
https://www.bluecaffeine.com/,35,div,,bt-subheader-cell bt-right,54,80px,auto,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-subheader-cell bt-right"">
					<div class=""bt-content text-right"">
						<div class=""bt-menu-desktop text-left""><ul id=""menu-homepage"" class=""menu""><li id=""menu-item-5046"" class=""menu-item menu-item-type-custom menu-item-object-custom menu-item-5046""><a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a></li>
<li id=""menu-item-2751"" class=""menu-item menu-i"
https://www.bluecaffeine.com/,36,div,,bt-content text-right,54,80px,auto,visible,True,False,WARNING,1.4.12: Fixed height may cause clipping when text spacing increases.,WARNING,"<div class=""bt-content text-right"">
						<div class=""bt-menu-desktop text-left""><ul id=""menu-homepage"" class=""menu""><li id=""menu-item-5046"" class=""menu-item menu-item-type-custom menu-item-object-custom menu-item-5046""><a href=""https://www.bluecaffeine.com/case-studies""><span>CASE STUDIES</span></a></li>
<li id=""menu-item-2751"" class=""menu-item menu-item-type-post_type menu-item-object-page menu-"
