src,alt_text,title,classification,sub_type,is_functional,is_decorative,is_complex,is_logo,is_icon,is_button,screenshot_path
https://www.bluecaffeine.com/wp-content/uploads/2020/09/BC-WHITE-116.png,Logo,,functional,logos,True,False,False,True,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_257217c414f1.png
https://www.bluecaffeine.com/wp-content/uploads/2022/12/BC-WHITE-Hat-1-2.png,Logo,,functional,logos,True,False,False,True,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_3eb072697322.png
https://www.bluecaffeine.com/wp-content/uploads/2021/07/BC-WHITE-116.png,Logo,,functional,logos,True,False,False,True,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/logos/img_f2457a848332.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/B2B_blog_1-656x344-1.png,hero-banner-img-2,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_40a125f653e4.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Hero-Image-4-1.png,hero-banner-img-mob-4,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_26a2001138b5.png
https://www.bluecaffeine.com/wp-content/uploads/2025/03/PremierBadgeClickable.png,,,functional,icons,True,False,False,False,True,False,crawled_images/bluecaffeine_com_0324_0521/functional/icons/img_3e187055c267.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/92.png,premier,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_50035d4ff635.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-261.png,goof-partnership,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_82d7628d2392.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Group-59.png,bc-ai-labs,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_b69b37f9572b.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145.png,img-1,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_39bae18d5094.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-1.png,img-2,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_bd4cad41e116.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-2.png,img-2,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_080122a96503.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-3.png,img-1,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_531f0f9ca879.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-145-4.png,img-5,,informative,succinct_information,False,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/informative/img_187548361dda.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Mask-group.png,case-study-img-1,,complex,charts,False,False,True,False,False,False,crawled_images/bluecaffeine_com_0324_0521/complex/charts/img_77264935933d.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Mask-group-1.png,case-study-img-2,,complex,charts,False,False,True,False,False,False,crawled_images/bluecaffeine_com_0324_0521/complex/charts/img_9b2c9335e55f.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/SaaS-1.png,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_b4eccaf66230.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Prompt-1.png,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_8eeca7ce6279.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/map1-1.png,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_5ed95942e26a.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-88.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_b1a19de6e228.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-89.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_0429b619bd82.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-90.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_e712abf3876a.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-95.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_3e75b7986211.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-91.png,,,decorative,decorative,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_e69f508c7e6b.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-96.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_9bce52590cf3.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-92.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_f7e475cc65b1.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-97.png,,,decorative,missing_alt,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_e67e11f0221f.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Frame-94.png,,,decorative,decorative,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_8f43a31f6457.png
https://www.bluecaffeine.com/wp-content/uploads/2020/09/1-1-150x150-1-e1604563284815.png,,,decorative,decorative,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_3e8565588ae0.png
https://www.bluecaffeine.com/wp-content/uploads/2020/09/ia_100000082@2x.png,,,decorative,decorative,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_de84ba2f6258.png
https://www.bluecaffeine.com/wp-content/uploads/2020/09/rav-150x150-1.jpg,,,decorative,decorative,False,True,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/decorative/img_44792a7e0b01.png
https://www.bluecaffeine.com/wp-content/uploads/2021/04/ia_100000066.png,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_36c73b57ce4e.png
https://www.bluecaffeine.com/wp-content/uploads/2025/10/Group-63.png,,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_fff52b8119d2.png
https://www.bluecaffeine.com/wp-content/uploads/2021/04/seo.jpg,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_61e4d22f5188.png
https://www.bluecaffeine.com/wp-content/uploads/2021/04/social-1.jpg,Alt text,,functional,images,True,False,False,False,False,False,crawled_images/bluecaffeine_com_0324_0521/functional/images/img_d1e39ff7ad4f.png
